Review,Condition,Rating,Sentiment
"Thank you for the opportunity to share my experience. I was  diagnosed with cervical dystonia. I have been taking the shots for three years. I receive these shots every three months. The pain from these shots is very intense. I believe l receive seven injections per visit. I have tried to ice the area, it does not help. I have had pt, as well as acupuncture, neither worked. I find the shots help for about three months. I like the results, but don&#039;t like the pain. The doctor says it is due to the tension of the muscles. Anyone having this problem? Thanks for listening.",Cervical Dystonia,8.0,Positive
"Very Effective if taken right 0.1% failure rate vs other birth control that are not combined pills 0.3- 0.6% failure rate. ( 7 days after first Sunday if starting first pill)
Regulates your periods makes them shorter and lighter. Note: it takes about 3 months for your body to get used to the hormone change so you might experience irregular periods or brown discharge but its completely normal. 
Fact: lower sodium intake if this happens
Helps improve skin. i.e acne but in time. You will not see results right away but in a month or two.
I have not experienced any weight gain but have seen mood swings, sensitivity etc. but improved in a few months.
Every girl experiences Trinessa differently but it&#039;s because your body gets used to the change (3 months).",1</span> users found this comment helpful.,9.0,Positive
"I have taken this medication for approximately 10 years. I have discontinued use 3 times and my depression resumed each time. I believe many side effects and negative experiences could be avoided if doctors would start patients out with a smaller dose. It has been my experience that when I start with 300mgs I have migraines, nausea, dizziness and itching. I do not have this issue if I start off at 50mgs and gradually increase over 3 months to 300mgs. This medication helps me more than any other and does not make me gain weight. It also seems to slightly help with my adult ADHD, anxiety, OCD, PMS and chronic pain. ",Depression,10.0,Positive
"I was in good health but developed severe neuropathic burning pain all over the body due to an MRI scan. I have been taking 10mg amitriptyline for the past 4 weeks and it seems to be starting to work, the burning pain is less severe so far. It hasn&#039;t helped any other symptoms which devleoped following teh scan but I would recommend it for neuropathic pain- also, I haven&#039;t develeoped any of the stated side effects. My friend also takes it in a higher dose (50) for depression and she is fine on it (no weight gain etc). Side effects not a reason to not take for pain.",Pain,7.0,Neutral
"I had a UTI finished an entire prescription of macrobid. I noticed as soon as I finished the meds my UTI symptoms came back - so it didn&#039;t work for m.  I then tried bactrim. The pain went away after 1.5 days of being on bactrim which was a huge relief but it is now day 4 and I am suffering from nausea, cold sweats, chills, insomnia and anxiety. It works for your UTI but the side effects are unbearable after a few days.",Urinary Tract Infection,5.0,Neutral
"I had my mother taking this for her allergies.  It did nothing for her.  After taking for almost 3 weeks, she broke out in hives.  We stopped immediately.  Went back to Clariten",Allergic Rhinitis,1.0,Negative
"Dry mouth, nausea, horrible taste",Insomnia,5.0,Neutral
Works great when used in triple antibiotic ointment for wound care.,Pain,8.0,Positive
"I&#039;ve been using this product for about 2 weeks and I have seen a LITTLE difference. But it does take time, and my doctor said it would get better before it gets worse. I&#039;m still holding out hope! My acne is pretty bad on my face. On my sides, my forehead, and my jawline. It is really bad. But I have faith in this product. Because my acne will not go away for anything! It is extremly stubborn. I&#039;m 18 so that may be part of the problem. I got this free with my isurance otherwise it would have be $380!! So, it better work. Only problem is it drys out my skin so I&#039;d recommend lotion!",Acne,7.0,Neutral
"I am a 45 year old female with hormonal cystic acne which I&#039;ve had for around 10 years. I&#039;ve tried various oral antibiotics, prescription topical creams, face washes, etc... When my dermatologist first put me on Aczone I thought it was a miracle cream. I would have given it 10 stars the first few months because the first 3 months were AWESOME. The next 6 months were okay. Over the last 3 months I have had a tube in the drawer but the over the counter acne creams work just as well now. It is expensive if you don&#039;t have insurance. It is worth a try but for me it isn&#039;t working like it did at first. I didn&#039;t notice any side effects other than dry skin.",Acne,6.0,Neutral
"I&#039;m only on my 7th day taking Zoloft(25mg) and I do feel less anxious at times but the first day I took it I ended up having a panic attack that led to an ER trip because I thought it was a heart attack. 2nd day I had a icy/hot feeling and still do, 3rd day had bouts of diarrhea. Anyways don&#039;t let these put you off as medicine works different for everyone. My grandma takes it for depression and had no side effects, NOT FAIR! But to me it seems like I&#039;m getting all the side effects haha. Zaps here lately really annoying almost leads to a panic attack but I let myself know its just the Zoloft/Anxiety. Also seems to be moving my legs more while sitting and grinding my teeth which I never done before.",Anxiety and Stress,6.0,Neutral
"Was treated for a urinary tract infection but I had no symptoms, so I really don&#039;t know if it actually helped. But I ended up with a yeast infection afterwards. Only took it for 3 days.",Urinary Tract Infection,1.0,Negative
"Yasmin made my skin worse then what it already was, my moods were a bit better but I didn&#039;t see a huge change, for me this pill didn&#039;t work",Birth Control,4.0,Negative
"I am a 20 year old female, one of the youngest patients my doctor has ever treated! Thankfully being pregnant helped me detect it! I&#039;m on my 3rd week of treatment with Zepatier. The first 2 weeks have been fine with a few headaches here and there but now I&#039;m in the 3rd week I&#039;ve become really ill. I&#039;m not 100% sure it&#039;s from the medication but I can&#039;t think of anything else it could be and nobody else is ill. I have a really sore throats and dry mouth, my joints hurt and I just have no energy! Luckily I&#039;ve not been sick but I&#039;m on day 2 of this illness so it could go anywhere! I&#039;m going to speak to my doctor on Monday if I&#039;m no better and keep you updated but I will keep on my medication so I can fight this!",Hepatitis C,5.0,Neutral
"I was on Safyral for 4 month. I had a break-through bleeding the first month, then it stopped (Which was very fast for me! It was great). However, my acne increased and I was tired all the time. Also, I had terribly sore breasts and white vaginal discharge every last week of active pills. My periods became much lighter with less cramps. When I stopped taking the pill, my acne was 90% gone the next day! I couldn&#039;t believe it! My face looked cleaner than before I started this pill. I was off the pill for a month, and my acne still is very small (Which is good, because I used to have bad breakouts). Couple of days ago started taking LoEstrin 24, will see what it does.",Birth Control,5.0,Neutral
I have had trigeminal neuralgia since early 2009. I initially tried Tegratol but was unfortunately allergic to it (anticonvulsant hypersensitivity syndrome). Thankfully I was eventually given Neurontin. I am currently on 1200mg three times daily and it is working in conjunction with paracetamol. It has given me respite from the pain and hopefully will continue to do so until I have my operation in late May 2010.,Trigeminal Neuralgia,8.0,Positive
"I have had chronic migraines for as long as I can remember.  To the point where I can&#039;t even talk to answer questions,  walk straight,  I have been accused of being drunk or high because if it.  They could last up to three days, the first time I tried imitrex....  It was quite literally the Holy grail from then on.  The pills take away any aura or migraine in about 20 to 30 minutes and the shots give immediate relief.  Wether or not it&#039;s a placebo,  I swear to the gods,  as soon as you inject into your upper thigh your migraine goes down a few pegs.  Within a few minutes,  nearly or entirely gone.  If you have migraines or clusters ask your doctor.  Don&#039;t take irresponsibly because it can have some weird effects on people.",Migraine,10.0,Positive
I had been on Escitalopram for the last 5 years due to anxiety and occasional panic attacks. But like other SSRI&#039;s it had negative impact on sexual function and weight gain. I tapered of my escitalopram slowly and started taking buspirone in low doses. It helped me great both on Sexual Function and anxiety. It gave me confidence and relief.,"Sexual Dysfunction, SSRI Induced",7.0,Neutral
"My 7.5 year old son has been taking 10mg Focalin for nearly a year.  Immediately it was a &quot;miracle&quot; for us.  He had good behavior marks in school, could finish his work and we were getting along better at home too.  About a month ago it seemed like maybe he had outgrown his dose, we upped it to 15mg.  Immediately again, great results.  But, we spent 4 hours in the ER tonight getting 2 EKGs &amp; xrays because of his chest pains and irregular heartbeat.  Final diagnosis: stop taking Focalin.  As much as I loved the behavior and focus improvements he had from the drug, I love him more and can&#039;t risk damaging his heart.",ADHD,7.0,Neutral
"Out of the 5 people I know who have gotten this birth control, I am the only one who still has it in. I had it inserted 2yrs ago. The procedure itself was not bad. I have to say this is the worst birth control I have used.  The acne started first.  As soon as my periods stopped, the cramping started almost every day. Within the last 4 months I have gained a lot of weight. I am having terrible headaches and heartburn. I constantly feel bloated and all the weight I gained went straight to my stomach. I am puking, my breasts are incredibly sore. I feel like I&#039;m pregnant when I&#039;m not....mood swings, pain every day, urinary tract infections, etc. I am having it removed!",Birth Control,1.0,Negative
One week off of 12 week course. I feel great.  So thankful  and grateful for this miracle. Side effects  were really mild.,Hepatitis C,10.0,Positive
"awful leg pain, vaginal burning like on fire, back pain, pounding heart, dry cough, stomach pain and diarrhea",Atrophic Urethritis,1.0,Negative
"Relieves some fibromyalgia pain, but causes weight gain and fatigue. Does nothing for muscle spasms.",ibromyalgia,5.0,Neutral
"I was on a gel before and I&#039;m going back. My doctor thought this one would be easier for me to apply, but the application process is a mess. Plus it takes longer for me to apply and sometimes gets on my hands anyway, so whats the point? My levels aren&#039;t any better than they were before. Plus I had to pay $25 for the script. ","Hypogonadism, Male",4.0,Negative
"Worst birth control I have been on. I got it  1 and 1/2 yrs ago. First 7 months was fine, then I started bleeding randomly. I bleed on average 25 days out of a month (most days straight was 22) Those 6 days I don&#039;t are mixed in the middle mostly two days at a time,  some even include spotting which I don&#039;t refer to as bleeding anymore. I live with a tampon in! Had my hormones and thyroid checked for to see if that was the culprit and had a transvaginal ultrasound which showed I had a cyst on my left ovary. It definitely will keep you from getting pregnant due to the constant bleeding. I&#039;m getting mine out at 10:20 tomorrow and I can&#039;t wait ( have thought about cutting it out myself ) I don&#039;t want to wait 12 hours!",Birth Control,1.0,Negative
"I have been on opioids for 20 years at least.  So constipation kind of rules my life. I too ended up in emergency twice, but all they did was give me an enema which never works for me. I saw a Movantik add on tv, so I asked my Dr. if I should try it. He agreed and wrote me a prescription. When I got home I took one, and it had no effect at all. Just nothing. So I decided to check the reviews on this drug and people have had just too many problems with pain , cramps, all sorts of awful things. Since it didn&#039;t work, I felt lucky. I don&#039;t want to go through the pain.","Constipation, Drug Induced",1.0,Negative
It was ok.,Gastroparesis,6.0,Neutral
"I was prescribed Exalgo by my physician about 3 weeks ago. I&#039;ve been a long term pain management patient, and we decided to make a change. I had been taking Avinza. I am not certain that the mgs are equal, but the Exalgo doesn&#039;t come close to helping as much as the Avinza. I take as directed, each medicine is to be taken before bedtime, and since I have switched to Exalgo, there have been many sleepless nights. Maybe the dosage is not enough. This will be discussed with my physician. ",Pain,5.0,Neutral
"I have had 2 Paraguard IUDs. Took the 1st one out to get pregnant, got the 2nd after my daughter was born. Both times, I had heavier periods, but it seemed better than hormonal birth control that makes me crazy. After 2 and a half years, I started having strange side effects. Lots of acne, dry skin, swollen lymph node, anxiety, depression, trouble sleeping, hopelessness. My doctor said that my swollen lymph node is associated with the liver. My acupuncturist said she thought I had liver congestion. I researched excess copper in the body. ALL. MY. SYMPTOMS. Had it removed within 2 days. Felt immediately better. My acne started healing within a few days. Not feeling depressed anymore. It was great until it wasn&#039;t.",Birth Control,2.0,Negative
"Bought this for my wife.  We read the reviews AFTER applying . . . Oh boy.  Her vag caught fire withing about 20 minutes.  I would like to shove this up the persons anus who approved this dosage and let them take it for a ride. We had to arrange the covers so it covered our whole body, but allowed her butt to hang out while cold air was being blown on it from the window.  Meanwhile, I am shuttling ice up and down the stairwell for her to apply trying to figure out just what the hell I have gotten myself into.",Vaginal Yeast Infection,4.0,Negative
"I have always struggled with compulsive eating, and have yo-yo-ed up and down my whole life. I was a relatively normal weight when I was prescribed Vyvanse, not for binge-eating disorder, but ADHD. I felt AMAZING. I had incredible focus, tons of energy, and best of all, no appetite. For the first time in my life, I never thought about food and lost 30lbs plus. But it wore off earlier and earlier, so I was given bigger doses. Then the mania started. No sleep, my mind whirling all day, my behavior manic and crazy. I came off, and immediately gained 60lbs, turned into a zombie. The pharmaceutical stress this drug put on my body brought on tons of illnesses that are chronic and i now live with 6 years later. NOT WORTH IT. Disaster drug.",Binge Eating Disorde,2.0,Negative
"I see a lot of mixed reviews on this. It&#039;s obvious this drug is EXTREMELY helpful on some and on others its completely ineffective, and can even do harm. My suggestion is to try it out for a month. If you don&#039;t feel the effects of it, try it for another month and if you still don&#039;t then switch to another drug. If you start feeling agitated by it, get off it immediately. For me strattera has worked wonders. I am 18 years of age, and have noticed the effects after my 4th week of taking it. My mind feels clearer, and I feel more motivated to focus on things I would usually find boring. The effects are reflected in my ACT score: my score has gone up a whole 6 points since first taking it. I wholeheartedly recommend strattera to anyone with ADD.",ADHD,10.0,Positive
Well I&#039;m the first one reviewing this... I got my Kyleena IUD placed on Dec. 2nd 2016. It was painful but no more so than other IUDs I&#039;ve read about. The issues I&#039;m having is contant spotting. I&#039;ve been bleeding lightly (where I have to wear a light pad so I don&#039;t ruin my underwear every day) for two months now. The office told me about a month ago that my spotting is normal and most likely means once I stop spotting I&#039;ll be done with my period for the five years Kyleena is good for. But I&#039;m starting to get a bit worried... two months of bleeding seems excessive. Any one else have experience with this?,17</span> users found this comment helpful.,5.0,Neutral
"I had the Paraguard put in by my Midwife, who recommended I take 3 Motrin beforehand. It was excruciating and didn&#039;t let up. It felt like a knife was inside my cervix, and the pain made me nauseous, dizzy, shaky, and see stars. I felt like I was going to pass out that night. The next day when I called, they ordered an emergency ultrasound. My body was trying to push the IUD out and it &quot;migrated&quot; so that instead of the top of the T laying horizontal and flat, one side was poking into me. They removed it immediately and the removal was also painful, but I had relief from the stabbing pain right away. She looked at the device and it had even bent (in 24 hours). I would not recommend this device.",Birth Control,1.0,Negative
This medicine gave me diarrhea.,Bronchitis,1.0,Negative
"I&#039;ve only been on this for about 2 weeks and I have tons of symptoms. Mood changes, breast enlargement, bloating, cramping in my abdomen. I&#039;m hoping it helps with my PCOS. I&#039;m going to stick with this medication for another month and if I still have all these symptoms I&#039;m going to get off of it.",Polycystic Ovary Syndrome,1.0,Negative
"My experience has been terrible.  I am 42 and an educated woman who works in a high capacity job and I can&#039;t function.

I have been to the emergency room twice for disorientation and garbled writing/texts.   I have had several falls or balance issues,  one fall caused a concussion, now I walk with a cane on occasions.     I constantly forget things, events, appointments and more.  I finally had to go out on medical leave.   I am in the process of discontinuing all psych meds as they are ruining my life!!!",Bipolar Disorde,1.0,Negative
"This medication is amazing!   I&#039;ve battled depression &amp; anxiety all my adult life (30 years).  I used alcohol periodically to self medicate and could &amp; would stop in the past.  I was drinking a 5th of vodka nightly for over a year &amp; was unable to stop due to withdrawals. I reached a point where I knew I needed help.  My liver enzymes were consistently elevated, I was extremely overweight, &amp; the depression &amp; anxiety had grown so severe that I felt suicidal.  After a 3 week tapering off using Librium, I was still craving alcohol.   But after the 1st day of taking Campral, I have yet to crave alcohol.  Its been 2 weeks...l&#039;ve walked every day and lost 12 lbs. Campral combined w/counseling and support; feeling healthier and hopeful than ever!",Alcohol Dependence,10.0,Positive
"I started taking Zoloft after experiencing physical symptoms of anxiety at random moments and cyclical mood swings with depression that had a very strong physical component (I had nothing to be sad about I just ached and couldn&#039;t get out of bed or smile) The first week I took it I felt like I was in a complete fog. I lost my appetite, had upset stomach and it messed up my sleep. Once my body adjusted (about 2 weeks) I had more energy, was more engaging with my friends and family and the physical symptoms subsided. After about 3 months I moved and lost my medicines and stopped abruptly. The depression and anxiety came back tenfold because I didn&#039;t wean myself off. I felt overwhelmed with life. Zoloft works great but it&#039;s very powerful.",Anxiety and Stress,7.0,Neutral
"I am 20 and was suffering from anxiety and depression after &#039;recovering&#039; from an eating disorder. Pristiq made me feel so awful in the first 2 weeks but by week 3 I felt calm, I no longer snapped at people for no reason, I could concentrate during conversations and my university work has not suffered. I do feel like I find it harder to sleep (after 3 months on Pristiq) and if I miss a pill by a few hours I feel very, very drowsy. I have experienced no weight-gain BUT have had a notable increase in headaches and a few migraines. Overall the positive effects far outweigh the bad. ",Depression,6.0,Neutral
I am 19. My boyfriend and were having unprotected sex and he finished inside me. I was very upset considering the fact he swore to me he would pull out on time. He quickly went to the store and bought me the pill. I took the pill not more than an hour of the accident. I was late for my period and was sure I was pregnant because I was throwing up. But thankfully my period came and I know I&#039;m not pregnant! Trust me I know how stressful it is waiting for your period but it will come! Plan b does work and has not failed me the two times I have used it.,Emergency Contraception,10.0,Positive
"I was prescribed fluox by my GP to treat what was believed to be generalised anxiety disorder (later confirmed as comorbid with AvPD) circa 2012 and my dose was doubled in 2014. 

Initially results were good, significant reduction in anxiety and depression within a fortnight. But by 2014 the drug was ineffective and we doubled the dose which allowed me to function while still experiencing anxiety but came with incredible fatigue.

For medium term use fluox is an effective and ssri for depression and anxiety but in the long term is needs to be supplemented or replace as you build tolerance.",Not Listed / Othe,5.0,Neutral
"I wish that I had the same testimonial as everyone else, but I really have not seen any significant reduction in alcohol cravings. I was so hopeful that this would be the end of this miserable disease.",Alcohol Dependence,1.0,Negative
"My neurologist put me on nortriptyline  as my common migraine attacks became more frequent, 10 or more a month. These migraines were almost always accompanied by a stiff neck and often woke me up after 5 hours or so of sleep.  Started at 25mg daily, I noticed a change in the pattern.  While previously I would have 3 days of migraine in a row, the migraines were mostly limited to one day.  After a month or so, the dose was increased to 50mg, and I am largely migraine (and stiff-neck) free.   I take it at night, so the only side effect is that I sleep longer than I used to.  My understanding is that after some number of months the dose will be reduced and/or I will be taken off of it to see if the migraines return.",Migraine Prevention,9.0,Positive
"I have more headaches than usual and I am always bloated and hungry with non-stop cravings. The only good thing is that my periods go from light to barely there. I love that aspect. I never had any skin issues so that was not my concern. I take pills to regulate my cycle, which it does. But I can do without the headaches and weight gain.",Polycystic Ovary Syndrome,5.0,Neutral
I have had severe insomnia that is very possibly related to Humira.,Ankylosing Spondylitis,7.0,Neutral
"I received the synvisc one injection 3 months ago, it did not help my pain ,it causes me more pain and suffering. I barely can walk or sleep. The back of my knee after waking up  to start my day, I can&#039;t bend my knee without extremely pain. A week after injection I had started dragging my leg because the pain is unbearable. How can I have this injection removed from my knee. I can&#039;t live with this very very very very bad pain from the synvisc one injection. the back and front of my knee is agony.",Osteoarthritis,1.0,Negative
"I&#039;m glad to have read these reviews, because now I know why I&#039;m hungry all the time! I think about food all the time. I have never been that way. I&#039;m a healthy eater and gym junkie. So, I have gained weight, lost any sex drive (but I&#039;m not active anyway), and am a little irritable. But besides that, I have no other problems. I&#039;m using it for surrogacy, so they have me on my second pack in a row to skip my period which worked perfectly. The last pill did not stop it. 
Why cant I be one of the people who have lost weight on it? ",Birth Control,7.0,Neutral
"I&#039;ve been taking contrave for 2 weeks and 3 days. Every since I started I get bad stomach cramps after I eat. It doesn&#039;t matter if it&#039;s a well proportioned healthy nutritious meal or a unhealthy meal it happens after every meal. I feel nauseous a little still and in the beginning I felt nauseous more frequently! I feel energetic, sometimes tired but that depends on my amount of sleep. For the most part I feel energetic. Since I started taking this pill I don&#039;t ever feel hungry I have to remind myself to eat every 2-3 hours or I will only eat once a day which is terrible. So all in all the side effects are not worth it. This will be my last day because the stomach cramps have become a inconvenience and make me miserable after eating.",Weight Loss,2.0,Negative
This medicine tastes awful.,Diarrhea,7.0,Neutral
"I have had 22 treatments and the last one I had in March made me so sick. Going to take my next one 06.10.09, but they make me feel better.",Multiple Sclerosis,5.0,Neutral
"I&#039;ve always had constipation, and like other patients my doctors always blamed it on me. I&#039;ve gone up to 2 weeks without a single movement regardless of what amount of fiber I%u2019ve eaten. Needless to say laxatives and herbal supplements have been a part of my daily regime without fail.  Though I%u2019ve had a hysterectomy I noticed that around my %u2018period%u2019 time the stimulants didn%u2019t work. I went to the bathroom 2 weeks ago at work and stood up to a very large amount of blood in the toilet. There was no pain or discomfort so I set up an appointment with a doctor immediately. She prescribed Amitiza to me and I%u2019m absolutely stunned that no one offered this to me before. Keeping waste in your body can cause various types of health problems, including lethargy which is a major problem for women anyway. I find my previous health care providers to be irresponsible for allowing this to continue when there was a miracle pill like this.  One pill, 1x in the morning, and I%u2019m at the top of the world again. I feel a slight tightening in my chest after I%u2019ve taken it, but it%u2019s so minor that I just thought my seat belt was too tight.  I don%u2019t even take it with food.","Constipation, Chronic",10.0,Positive
I&#039;ve been on the pill for 6 years. I no longer get my period. When I get off to give my body a break I get my period for 3 days light. I do experience headaches when stressed and excessive discharge as a side effect. My blood pressure is always a little higher than normal.  I love the pill and recommend it.,Birth Control,10.0,Positive
"I&#039;ve been using ibuprofen for years and lately it has not been as effective and bothering my stomach with use of Fosamax too. Doctor switched me to Etolodac 400mg TR twice a day and I am happy he did. The stomach is handling it better with me, and the pain has gone to little or none based on the day. This was a wonderful relief as he had tried me on Celebrex and another previously and the ibuprofen worked better then. Now with the ibuprofen being less effective I am glad to have found this one.",Osteoarthritis,7.0,Neutral
"Had to quit taking this BC. 
Horrible mood swings, huge painful breasts and nipples, yeast infection non stop,  low libido, UTI, can&#039;t sleep, headaches, gained 10 lbs. 
just awful.",Birth Control,1.0,Negative
I took this medication for a parasite called blastocystis hominis. I have a metal taste in my mouth and feel nausea and anxiety. Also my pelvis hurts and I feel my chest feels tight at times.,Bacterial Vaginitis,9.0,Positive
Removed pharanghaitis but induced very heavy cough.,Tonsillitis/Pharyngitis,9.0,Positive
"OK, guys, I had a bottle of champagne and we drank,but i failed, ugh. I thought it was her roomates with kids next door and said next time better at my place. so we tried at my place, again a fail, 2 months later saw her , by now I had bought cialis, I mixed champagne, vodka, ,well things were going well, but then before ,climax, I felt like might have heart attack, had to stop, then,another fail so, then ( started Kundalini yoga, excercises, about squeezing your sex, muscles, breathing , blood flow etc, ( Sat Kriya ) my ex girlfriend had taught me years ago, started again                                  amazing, if no yoga( 80mg bayer heart asprin ,rock hard .lol all",Erectile Dysfunction,6.0,Neutral
Turns it into something to fear!,Erectile Dysfunction,10.0,Positive
"Within 1 hr of taking - starting shaking uncontrollably, threw up and couldn&#039;t sleep",Bipolar Disorde,1.0,Negative
"I started Qsymia on December 1, 2015 and so far I am down 25 pounds. This medication has curbed my appetite immensely and has completely changed the way I look at food. Now I eat to live, I don&#039;t live to eat. I do have dry mouth and some occasional tingling in my feet, but nothing too bothersome. I also get some constipation, but I have GI issues from multiple auto-immune diseases, so that side effect kind of counteracts that in my favor. The only complaint is that my insurance doesn&#039;t cover it, so my current dosage runs about $130 per month; however, that a small price to pay to lose the weight. The weight loss is strictly the change in diet so far, as I really haven&#039;t gotten back to an exercise regimen yet.",Obesity,9.0,Positive
Really amazing spray! It is life changing medication.,Allergic Rhinitis,10.0,Positive
"I was put on amlodipine and had been taking it for about 2 months.  I was not happy when I found that this medication could possibly react with simvastatin - so I asked the doctor to switch it - he said let it go for a couple of months to see.  So I did.  Blood pressure still wasn&#039;t getting close to normal - and I was also getting horrible chest pains, horrible tinnitus - seems like I was holding water.  I finally got him to instead switch the amlodipine to Lisinopril/ hydrochlorothiazide 10/12.5 mg dose.  By the second day of taking this my blood pressure totally returned to normal 120/80 - right around there.  I was ecstatic!!! It&#039;s been about a week now on the new.",High Blood Pressure,1.0,Negative
"No change in pulmonary function tests after 3 months, plus severe edema, so I also had to take a strong diuretic that had to be planned so I would not be stranded without a bathroom, lots of peeing for 6 hours.",Pulmonary Hypertension,1.0,Negative
"Worst medication I have ever had. I started off vomiting once a day, then twice a day. My hands were tingly, and my feet. My scalp went tingly too. I felt so dizzy and thought I was going to pass out. This was just awful. At first I thought this might have been symptoms of amoeba, but it was from the antibiotic - metronodizole is a powerful drug.
Unfornately I had all these symptoms on an island and had to return to mainland. The more competent doctor on mainland, stopped the flagyl and prescribed dioxanide furoate.
Metronodizole is used to treat the parasite, however there are also eggs associated with the parasite, and they will hatch as well. metronodizol treats the parasite, diox treats the eggs. these will show in stool separately.",Amebiasis,1.0,Negative
"This medicine is horrible for me. The first time I took it, I felt it 20 minutes after. I had random spot pains all over my body, insomnia, throwing up, dizziness, my limbs went numb, and my already diagnosed anxiety and depression got 10x worse. I could not rest, it felt like my body was going 100 mph. I had horrible mood swings and it affected my relationship even though he understood. I felt very angry and hostile I cried over almost anything with terrible migraines and canker sores. I also got blood clots. I am 95 pounds. I would not recommend this to anyone.",Birth Control,1.0,Negative
"I got my first yeast infection when I was 16, my mom went and bought me monistat 7 and it worked great I felt better within a day. About two months ago I got the symptoms of a yeast infection but without the discharge. Unsure of what I had I went and bought monistat 7 again and it burned and itched worse than anything I&#039;ve felt. I bawled my eyes out and it didn&#039;t stop for hours. I continued to take it for 2 more nights with the same symptoms and then went to the gyno that Monday. Turns out I had a bacterial infection and that is why it was burning so horribly. If it burns you to the point where you are In tears GO TO THE DOCTOR! It is probably not a yeast infection!",Vaginal Yeast Infection,9.0,Positive
Xarelto seems to work for thinning the blood and allowing clot reabsorption but it causes bleeds particularly heavy periods. This major side effect which obviously affects women but not men does not seem to be addressed by Xarelto and therefore it is under researched. Heavy periods are associated with anemia which in turn can cause heart and other organ problems as well as cause fatigue and weak immune system apart from the obvious life style inconvenience to women sufferers.,Deep Vein Thrombosis,7.0,Neutral
"My Dr. prescribed me Thorazine for insomnia because she doesn&#039;t like Ambien, Xanax, etc. Felt like a zombie in the morning, plus I developed a tolerance from 50 mg to 100 mg in 2 weeks. Felt dead inside. After 100 mg and another 2 weeks had trouble sleeping again and doctor told me to double the dose. I didn&#039;t do it.",Light Sedation,1.0,Negative
I have smoked since I was 12 yrs old. Started smoking daily at age 15. I am now 51. Quit a few times for 3 or 4 months but always went back to it. On day 2 with Zyban and still smoking but looking forward to finally quitting. First day I took one in morning. Felt a bit funny but also was getting pains in chest n arm. Not sure if this was just a panic attack or what but going to keep going. If it gets worse I will have to stop taking zyban. But I&#039;m keeping my fingers crossed that it was nothing more than a panic attack.,Smoking Cessation,6.0,Neutral
"Second colonoscopy,  first time, I was given pills to take with lots of liquid. Suprep method   is harder, lots of water/ liquid to drink in a short time, that being said it started working within 10 min., wasn&#039;t expecting such fast results! TASTES TERRIBLE!  BUT Ice cold water to mix prep helps, I also had some warm chicken broth that I drank after finishing the prep solution, helps get that sickening sweet aftertaste out of your mouth  , the slice of lemon &amp; the straw also made ingesting this stuff bearable.",Bowel Preparation,10.0,Positive
"Our Son is 23 and put on 0.25 micrograms of Risperdal twice a day in September 2005, due to not being able to get a prescription for 0.25. we were splitting the 0.5 tablet in half. this was ok as the prescribed medication had a line in the middle. 
Our son did seem to be calmer at first. 
Our son was in a residential home during the week and returned home weekends.
After going to collect him a few  weeks ago, we were so shocked as he seemed all over the place, getting stuck saying one word, jerky movements of upper limbs. it was heart-breaking.
We then noticed the brand of Risperdal had changed and they were a dark red tablet. We then realised this tablet should have never been divided.
The GP  advised us to stop the medication.",Autism,1.0,Negative
"I am 20 years old and generally eat well and maintain an active lifestyle. I started using Loestrin 24 FE in April to deal with excessively heavy and irregular periods that started being a problem in January. In the three cycles that I&#039;ve been on it, I have gotten my period 6 times with irregular spotting in between, so it is not at all having the effects I was hoping for. Another complaint is that I&#039;ve gone from 130 lbs to 140 lbs with no significant changes in diet or activity.",Birth Control,2.0,Negative
"I had my 5th colonoscopy today and I used Prepopik  for the first time. In past props, I had horrible experiences with the different drinks that I had tried it. Several of them caused me to be very nauseous and even throw up but this was fantastic. I followed the directions for taking it twice in one evening and it worked perfectly. I was in the bathroom 45 minutes  after the first drink and then went regularly from that point on. I was a little nervous that my output was not as clear as I would have liked but by the time of the procedure at 8 AM things were at a good point. The report I received from the doctor said that the prep was excellent and they could see everything clearly.  I am so grateful to this company for developing a product that doesn&#039;t taste horrible and can be used in such a small amount.",Bowel Preparation,10.0,Positive
"I used this for several years with good results.  Only problem was I metabolized the medicine too quickly and the third day was more painful.  My decidedly low-tech solution was to remove only 2/3 of the backing plastic the first couple days, then remove the last bit for the third day.
I take extended release morphine now and it works just as well.  It&#039;s a toss-up between wearing the giant patch and dosage issues verses remembering to take a pill every 8 hours. ",Pain,8.0,Positive
"Doctors just give it out like cough medicine.  I have a from of muscular distrophy , lupron almost killed me and the doctors did not know what to do.  11 years later I am still having side effects from the synthetic hormone.  doctors should realize that one size does not fit all.",Prostate Cance,3.0,Negative
I started Adipex after the birth of my child. It has helped me get to my goal weight and I feel great. ,Weight Loss,9.0,Positive
Been on patch going on 2 months. I love it. Notice boobs are getting bigger and a little sensitive. I place the patch on my buttock and put waterproof band aids to prevent it from unsticking due to bathing. I also learned to attach new patch before removing old 1 it decrease the sick feeling. I take one a day vitamins to prevent feeling sleepy. So far so good.,Birth Control,9.0,Positive
I was a 2 pack/day smoker for around 25 years. Went on the drug Chantix and quit smoking without much difficulty.  It has been 10 months since I quit and I still have no desire to go back to smoking.,Smoking Cessation,10.0,Positive
I have always had excessive sweating and body odour because of that and always been looking for medication for this. Tried so many Deodorants include Mitchum and they did not seem to work at all. I put this on for 2 nights continously and I was surprised at the results! It really works! Although it may seem a little expensive but it&#039;s worth the price.,Hyperhidrosis,10.0,Positive
